Date,Confirmed,Active
2020/2/1,8,6
2020/2/2,10,4
2020/2/3,12,8
2020/2/4,12,4
2020/2/5,12,8
2020/2/6,12,4
2020/2/7,13,9
2020/2/8,13,4
2020/2/9,14,10
2020/2/10,14,4
2020/2/11,16,12
2020/2/12,16,4
2020/2/13,16,12
2020/2/14,16,4
2020/2/15,16,12
2020/2/16,16,4
2020/2/17,16,12
2020/2/18,16,4
2020/2/19,16,12
2020/2/20,16,4
2020/2/21,16,12
2020/2/22,16,4
2020/2/23,16,12
2020/2/24,16,4
2020/2/25,17,13
2020/2/26,27,14
2020/2/27,46,32
2020/2/28,48,16
2020/2/29,79,63
2020/3/1,130,67
2020/3/2,159,92
2020/3/3,196,104
2020/3/4,262,158
2020/3/5,482,324
2020/3/6,670,346
2020/3/7,799,453
2020/3/8,1040,587
2020/3/9,1176,589
2020/3/10,1457,868
2020/3/11,1908,1040
2020/3/12,2078,1038
2020/3/13,3675,2637
2020/3/14,4585,1948
2020/3/15,5795,3847
2020/3/16,7272,3425
2020/3/17,9257,5832
2020/3/18,12327,6495
2020/3/19,15320,8825
2020/3/20,19848,11023
2020/3/21,22213,11190
2020/3/22,24873,13683
2020/3/23,29056,15373
2020/3/24,32986,17613
2020/3/25,37323,19710
2020/3/26,43938,24228
2020/3/27,50871,26643
2020/3/28,57695,31052
2020/3/29,62095,31043
2020/3/30,66885,35842
2020/3/31,71808,35966
2020/4/1,77872,41906
2020/4/2,84794,42888
2020/4/3,91159,48271
2020/4/4,96092,47821
2020/4/5,100123,52302
2020/4/6,103374,51072
2020/4/7,107663,56591
2020/4/8,113296,56705
2020/4/9,118181,61476
2020/4/10,122171,60695
2020/4/11,124908,64213
2020/4/12,127854,63641
2020/4/13,130072,66431
2020/4/14,131359,64928
2020/4/15,134753,69825
2020/4/16,137698,67873
2020/4/17,141397,73524
2020/4/18,143342,69818
2020/4/19,145184,75366
2020/4/20,147065,71699
2020/4/21,148291,76592
2020/4/22,150648,74056
2020/4/23,153129,79073
2020/4/24,154999,75926
2020/4/25,156513,80587
2020/4/26,157770,77183
2020/4/27,158758,81575
2020/4/28,159912,78337
2020/4/29,161539,83202
2020/4/30,163009,79807
2020/5/1,164077,84270
2020/5/2,164967,80697
2020/5/3,165664,84967
2020/5/4,166152,81185
2020/5/5,167007,85822
2020/5/6,168162,82340
2020/5/7,169430,87090
2020/5/8,170588,83498
2020/5/9,171324,87826
2020/5/10,171879,84053
2020/5/11,172576,88523
2020/5/12,173171,84648
2020/5/13,174098,89450
2020/5/14,174478,85028
2020/5/15,175233,90205
2020/5/16,175752,85547
2020/5/17,176369,90822
2020/5/18,176551,85729
2020/5/19,177778,92049
2020/5/20,178473,86424
2020/5/21,179021,92597
2020/5/22,179710,87113
2020/5/23,179986,92873
2020/5/24,180328,87455
2020/5/25,180600,93145
2020/5/26,181200,88055
2020/5/27,181524,93469
2020/5/28,182196,88727
2020/5/29,182922,94195
2020/5/30,183189,88994
2020/5/31,183410,94416
2020/6/1,183594,89178
2020/6/2,183879,94701
2020/6/3,184121,89420
2020/6/4,184472,95052
2020/6/5,184924,89872
2020/6/6,185450,95578
2020/6/7,185750,90172
2020/6/8,186109,95937
2020/6/9,186506,90569
2020/6/10,186522,95953
2020/6/11,186691,90738
2020/6/12,187226,96488
2020/6/13,187267,90779
2020/6/14,187518,96739
2020/6/15,187682,90943
2020/6/16,188252,97309
2020/6/17,188604,91295
2020/6/18,189817,98522
2020/6/19,190299,91777
2020/6/20,190670,98893
2020/6/21,191272,92379
2020/6/22,191768,99389
2020/6/23,192480,93091
2020/6/24,192871,99780
2020/6/25,193371,93591
2020/6/26,194036,100445
2020/6/27,194458,94013
2020/6/28,194693,100680
2020/6/29,195042,94362
2020/6/30,195418,101056
2020/7/1,195893,94837
2020/7/2,196370,101533
2020/7/3,196780,95247
2020/7/4,197198,101951
2020/7/5,197523,95572
2020/7/6,198064,102492
2020/7/7,198343,95851
2020/7/8,198699,102848
2020/7/9,199001,96153
2020/7/10,199332,103179
2020/7/11,199709,96530
2020/7/12,199919,103389
2020/7/13,200180,96791
2020/7/14,200456,103665
2020/7/15,200890,97225
2020/7/16,201450,104225
2020/7/17,202045,97820
2020/7/18,202426,104606
2020/7/19,202735,98129
2020/7/20,203325,105196
2020/7/21,203717,98521
2020/7/22,204276,105755
2020/7/23,204881,99126
2020/7/24,205623,106497
2020/7/25,206278,99781
2020/7/26,206667,106886
2020/7/27,207112,100226
2020/7/28,207707,107481
2020/7/29,208546,101065
2020/7/30,209535,108470
2020/7/31,210399,101929
2020/8/1,211005,109076
2020/8/2,211220,102144
2020/8/3,212111,109967
2020/8/4,212828,102861
2020/8/5,214113,111252
2020/8/6,215039,103787
2020/8/7,216196,112409
2020/8/8,216903,104494
2020/8/9,217288,112794
2020/8/10,218508,105714
2020/8/11,219540,113826
2020/8/12,220859,107033
2020/8/13,222281,115248
2020/8/14,223791,108543
2020/8/15,224488,115945
2020/8/16,225007,109062
2020/8/17,226700,117638
2020/8/18,228120,110482
2020/8/19,229706,119224
2020/8/20,231292,112068
2020/8/21,233029,120961
2020/8/22,233861,112900
2020/8/23,234494,121594
2020/8/24,236122,114528
2020/8/25,237583,123055
2020/8/26,239010,115955
2020/8/27,240571,124616
2020/8/28,242126,117510
2020/8/29,242835,125325
2020/8/30,243305,117980
2020/8/31,244802,126822
2020/9/1,246015,119193
2020/9/2,247411,128218
2020/9/3,248840,120622
2020/9/4,250283,129661
2020/9/5,251058,121397
2020/9/6,251728,130331
2020/9/7,253626,123295
2020/9/8,254957,131662
2020/9/9,256433,124771
2020/9/10,258149,133378
2020/9/11,259735,126357
2020/9/12,260817,134460
2020/9/13,261737,127277
2020/9/14,263222,135945
2020/9/15,265014,129069
2020/9/16,266869,137800
2020/9/17,269048,131248
2020/9/18,271247,139999
2020/9/19,272932,132933
2020/9/20,273965,141032
2020/9/21,275560,134528
2020/9/22,277412,142884
2020/9/23,279025,136141
2020/9/24,281346,145205
2020/9/25,283712,138507
2020/9/26,285026,146519
2020/9/27,286339,139820
2020/9/28,288631,148811
2020/9/29,290471,141660
2020/9/30,292913,151253
2020/10/1,295539,144286
2020/10/2,298374,154088
2020/10/3,300027,145939
2020/10/4,301573,155634
2020/10/5,304673,149039
2020/10/6,307127,158088
2020/10/7,311137,153049
